1,Old Navy,Broken-in Khakis,30,32,,,31,10.5,16,11,31,12.25,9.5,40,8.5,Pakistan,relaxed fit,straight leg,just below waist,54023,S/776056-05,JFM11,12\10,PK,5/13/07,SF Store 4th St
2,Old Navy,Broken-in Khakis,31,32,,,33,11,15,10.75,32,12,9.5,40.5,8.75,Pakistan,relaxed fit,straight leg,just below waist,54023,S/776056-05,JFM11,12\10,PK,5/13/07,SF Store 4th St
3,Old Navy,Broken-in Khakis,32,32,,,33.5,11.5,16,10.5,32.25,12.75,9.5,42.5,8.75,Pakistan,relaxed fit,straight leg,just below waist,54023,S/776056-05,JFM11,12\10,PK,5/13/07,SF Store 4th St
4,Old Navy,Broken-in Khakis,33,32,,,34,12,16,12.25,31.25,13,9.5,42,9,Pakistan,relaxed fit,straight leg,just below waist,54023,S/776056-05,JFM11,12\10,PK,5/13/07,SF Store 4th St
6,Old Navy,Classic,30,32,,,31.5,10,14.75,10,31,11.5,9.5,40.5,9,Sri Lanka,classic fit,straight leg,just below waist,54023,S/633496-03,BAS,08\10,PK,5/13/07,SF Store 4th St
7,Old Navy,Classic,31,32,,,32,10.5,15,10,32,11.75,9.5,42,9.25,Sri Lanka,classic fit,straight leg,just below waist,54023,S/633496-03,BAS,08\10,PK,5/13/07,SF Store 4th St
8,Old Navy,Classic,34,32,,,34,11.5,15.75,11,32,13,9.5,42,10,Sri Lanka,classic fit,straight leg,just below waist,54023,S/633496-03,BAS,08\10,PK,5/13/07,SF Store 4th St
9,Old Navy,Classic,32,34,,,33,11,16,10.5,33.5,12,10,44,9.5,Sri Lanka,classic fit,straight leg,just below waist,54023,S/633496-03,BAS,08\10,PK,5/13/07,SF Store 4th St
10,Old Navy,Relaxed,30,32,,,31,10.5,15.25,10.5,32,11.5,10,42,9.5,Sri Lanka,loose fit,straight leg,just below waist,54023,S/633496-02,BAS,05\10,PK,5/13/07,SF Store 4th St
11,Old Navy,Relaxed,31,32,,,32,11,15.5,10.5,32,12,10,43,10,Sri Lanka,loose fit,straight leg,just below waist,54023,S/633496-02,BAS,05\10,PK,5/13/07,SF Store 4th St
12,Old Navy,Relaxed,34,32,,,34,12,16.5,11,32,13,10.5,43,10,Sri Lanka,loose fit,straight leg,just below waist,54023,S/633496-02,BAS,05\10,PK,5/13/07,SF Store 4th St
13,Old Navy,Cargo,31,32,,,32,11,15.5,11,32,12.5,10,41.5,9.25,Sri Lanka,relaxed fit,straight leg,just below waist,54023,S/633497-00,BAS,07\10,PK,5/13/07,SF Store 4th St
14,Old Navy,Cargo,33,32,,,34,11,16,11.5,31.5,13,10,41,10,Sri Lanka,relaxed fit,straight leg,just below waist,54023,S/633497-00,BAS,07\10,PK,5/13/07,SF Store 4th St
15,Old Navy,Cargo,30,32,,,31,10.5,14.5,11,32,12.5,10,41.5,9.25,Sri Lanka,relaxed fit,straight leg,just below waist,54023,S/633497-00,BAS,07\10,PK,5/13/07,SF Store 4th St
16,Old Navy,Loose Cargo,32,32,,,33,11,15.5,13,32,12.5,10.5,41.5,10,,,,,,,,,PK,5/13/07,SF Store 4th St
17,Gap,Straight Classic,31,30,,,31.5,10.5,15,10.5,30,12,9,39,8.5,Sri Lanka,straight leg opening,straight through leg,just below waist,54023,,,,PK,5/13/07,Gap Union Square
18,Gap,Relaxed Classic,31,30,,,32,11,16,10.5,29.75,12.5,10,39.5,9,,straight leg opening,easy through leg,just below waist,,,,,PK,5/13/07,,
19,Gap,Vintage Standard,31,30,,,31.5,10.25,15,11,30,12.5,9.5,39.5,9,Sri Lanka,,,,56023,S/77234200,,,PK,5/13/07,,
20,Gap,Tailored Relaxed,31,30,,,33,11,14.5,11,30,12.5,9,39.5,8,Bangladesh,,,,54023,S/77647000,,,PK,5/13/07,,
21,Gap,Tailored Straight,31,30,,,33,10.5,15.5,10,31,11,8.5,40,8,,,,,,,,,PK,5/13/07,,
22,Gap,Denim Washed Khaki 1969,31,30,,,30.5,10.25,15,10.5,30.5,11,8,41,8,,straight leg opening,slim through leg,just below waist,,,,,PK,5/13/07,,
23,J. Crew,Classic/Bowery,30,30,,,30.5,10.25,13.75,9.75,30,11,8.5,39,8,,,,,,,,,PK,5/13/07,,
24,J. Crew,Essex,30,32,,,31,10,11.5,10.5,31.5,11.5,9,41,8,,,,,,,,,PK,5/13/07,,
25,J. Crew,Slim Broken in,30,32,,,31,10,13.5,10,32,11,8.5,41,7.5,,,,,,,,,PK,5/13/07,,
5,Old Navy,Broken-in Khakis,32,30,,,34,11,15.5,11,30,12.5,10,40,9.5,Pakistan,relaxed fit,straight leg,just below waist,54023,S/776056-05,JFM11,12\10,PK,5/13/07,SF Store 4th St,
26,Old Navy,Broken-in Relaxed Fit Khaki's,33,32,,,34,13.5,16,11,31,12,9.5,42.25,9,Pakistan,relaxed fit,straight leg,sits slightly below waist,54023,S/776056-05,JFM11,12\10,JM,5/13/07,,http://oldnavy.gap.com/browse/product.do?cid=67525&vid=1&pid=776056&scid=776056052
27,Old Navy,Broken-in Relaxed Fit Khaki's,30,32,,,30.5,10.5,15.25,11,30,11.75,9.25,39.25,8.25,Pakistan,relaxed fit,straight leg,sits slightly below waist,54023,S/776056-05,JFM11,12\10,JM,5/13/07,,http://oldnavy.gap.com/browse/product.do?cid=67525&vid=1&pid=776056&scid=776056052
28,Old Navy,Broken-in Relaxed Fit Khaki's,34,32,,,36,11.75,16,11.5,31.25,13.25,10,42,9.25,Pakistan,relaxed fit,straight leg,sits slightly below waist,54023,S/776056-05,JFM11,12\10,JM,5/13/07,,http://oldnavy.gap.com/browse/product.do?cid=67525&vid=1&pid=776056&scid=776056052
29,Old Navy,Classic Khaki's,33,32,,,33,11,15.75,11.25,31.5,12.25,9.75,42,9.5,Sri Lanka,easy through hips and thigh,straight leg,sits slightly below waist,54023,V/700031159,08\10,,JM,5/13/07,,http://oldnavy.gap.com/browse/product.do?cid=67517&vid=1&pid=633496&scid=633496032
30,Old Navy,Classic Khaki's,32,32,,,31,10.5,15,10.25,31.5,11.5,9.5,41,9.25,Sri Lanka,easy through hips and thigh,straight leg,sits slightly below waist,54023,V/700031159,08\10,,JM,5/13/07,,http://oldnavy.gap.com/browse/product.do?cid=67517&vid=1&pid=633496&scid=633496032
31,Old Navy,Loose Fit Khaki's,32,32,,,31,11,15.5,11,31.5,12.25,10,42,9.75,Sri Lanka,,,,54023,,,,JM,5/13/07,,I don't think the loose fit are available online; likewise it feels like there are other pants online that I didn't note in the store - we should research this
